,Team,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HB,SH,SF,IBB,Team,PAge,R/G,W,L,PCT,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HB,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Team,G,CG,PO,A,E,DP,Fld%,PB,SB,CS,CS%,lgCS%,PO.1,Attendance,Managers
0,Yomiuri Giants,29.1,4.92,65,2467,2175,320,567,100,7,83,303,38,15,238,541,0.261,0.335,0.428,0.763,930,45,12,30,12,19,Yomiuri Giants,27.5,3.34,40,22,0.645,3.29,3.4,65,65,62,3,6,15,574.1,471,217,210,60,204,9,492,25,2,10,2371,1.175,7.4,0.9,3.2,7.7,2.41,Yomiuri Giants,65,,1723,673,16,49,0.993,0,,,,,,,Tatsunori Hara
1,Hiroshima Carp,28.6,4.33,66,2546,2267,286,601,115,7,68,277,25,18,201,501,0.265,0.33,0.41200000000000003,0.742,934,48,21,52,5,13,Yokohama Bay Stars,28.1,3.94,33,31,0.516,3.8,4.07,68,68,66,2,6,15,592.0,561,268,250,56,217,24,539,22,1,17,2511,1.314,8.5,0.9,3.3,8.2,2.48,Yokohama Bay Stars,68,,1776,722,27,53,0.9890000000000001,5,,,,,,,Alex Ramirez
2,Yokohama Bay Stars,29.1,4.28,68,2577,2303,291,628,109,3,67,283,13,8,209,493,0.273,0.336,0.41,0.746,944,56,20,27,18,8,Hanshin Tigers,28.9,3.98,32,31,0.508,3.46,4.12,66,66,63,3,1,16,575.0,525,263,221,51,217,19,477,16,2,28,2450,1.29,8.2,0.8,3.4,7.5,2.2,Chunichi Dragons,69,,1821,749,32,66,0.988,6,,,,,,,Tsuyoshi Yoda
3,Yakult Swallows,29.1,4.24,66,2516,2210,280,560,109,6,58,268,39,29,230,514,0.253,0.32799999999999996,0.387,0.7140000000000001,855,47,21,40,15,21,Chunichi Dragons,27.2,4.13,31,34,0.47700000000000004,3.8,4.23,69,69,63,6,9,14,607.0,586,285,256,66,205,9,548,22,0,22,2566,1.3030000000000002,8.7,1.0,3.0,8.1,2.67,Yakult Swallows,66,,1772,671,37,59,0.985,3,,,,,,,Shingo Takatsu
4,Hanshin Tigers,28.9,4.17,66,2435,2136,275,515,84,9,63,264,44,18,216,518,0.24100000000000002,0.315,0.377,0.693,806,46,21,49,13,11,Hiroshima Carp,26.6,4.83,25,34,0.424,4.43,4.89,66,66,62,4,2,9,587.1,609,319,289,59,244,15,511,15,0,27,2584,1.452,9.3,0.9,3.7,7.8,2.09,Hiroshima Carp,66,,1762,687,44,56,0.982,3,,,,,,,Shinji Sasaoka
5,Chunichi Dragons,28.7,3.41,69,2553,2265,235,544,98,10,37,224,18,11,205,494,0.24,0.307,0.341,0.648,773,53,20,45,18,15,Yakult Swallows,27.2,5.08,26,35,0.426,4.62,5.1,66,66,65,1,2,10,590.2,663,335,303,84,212,11,494,15,4,13,2612,1.4809999999999999,10.1,1.3,3.2,7.5,2.33,Hanshin Tigers,66,,1725,761,51,54,0.98,1,,,,,,,Akihiro Yano
6,League Totals,28.9,4.22,400,15094,13356,1687,3415,615,42,376,1619,177,99,1299,3061,0.256,0.325,0.392,0.718,5242,295,115,243,81,87,League Totals,27.6,4.22,187,187,0.5,3.9,4.31,400,400,381,19,26,79,3526.1,3415,1687,1529,376,1299,87,3061,115,9,117,15094,1.337,8.7,1.0,3.3,7.8,2.36,League Totals,400,,10579,4263,207,337,0.986,18,,,,,,,
