5666,Exetel,Sydney,2020-06-04T11:47:17.758612Z,1.0114354937553816,7.981,38757500.220758736,15232414.214397945,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T11:57:39.736383Z,1.0114354937553816,7.342,46491677.68530722,18833561.817230653,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T12:08:02.479886Z,1.0114354937553816,5.777,46161533.33318217,16273728.13018811,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T12:18:26.069980Z,1.0114354937553816,5.924,45981375.11051064,17937863.74325039,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T12:28:48.511679Z,1.0114354937553816,8.222,45357389.55125341,13675221.21397311,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T12:39:09.985951Z,1.0114354937553816,6.225,38178443.08040032,17221780.000517506,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T12:49:31.914576Z,1.0114354937553816,6.701,47624846.77945329,17062411.474677894,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T13:29:28.736651Z,1.0114354937553816,11.532,45424829.513205625,12774320.570737945,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T13:39:50.519268Z,1.0114354937553816,6.301,45993207.90823281,14907530.089520015,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T14:03:10.637046Z,1.0114354937553816,8.08,46149519.15050617,13819579.721862698,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T14:03:10.637046Z,1.0114354937553816,8.08,46149519.15050617,13819579.721862698,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T14:49:14.376450Z,1.0114354937553816,8.972,46651868.585961595,18196581.822296184,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T14:50:36.303173Z,1.0114354937553816,6.909,42509215.51389237,17237490.26412407,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T14:51:58.891396Z,1.0114354937553816,6.828,46310656.03856188,15171044.124027157,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T14:53:21.089763Z,1.0114354937553816,6.332,46840909.546333686,16772949.149405755,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T14:54:42.691159Z,1.0114354937553816,9.125,46535697.42878342,15120599.135088673,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T14:56:04.662304Z,1.0114354937553816,7.713,46923419.92381573,12580268.699219534,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T14:57:26.325426Z,1.0114354937553816,6.743,46962321.684533074,15600124.582219886,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T14:58:48.502010Z,1.0114354937553816,11.956,46416838.46066196,14402286.904614776,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T15:00:10.235195Z,1.0114354937553816,8.173,46206401.93361828,14426717.171479136,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T15:01:32.396631Z,1.0114354937553816,11.519,47076823.392871216,14101896.47435816,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T15:02:54.279952Z,1.0114354937553816,8.222,47385475.371986836,13993357.863030827,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T15:04:16.067434Z,1.0114354937553816,8.046,47346494.46702494,15145923.64898648,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T23:10:16.269656Z,1.0114354937553816,10.348,47577696.47474491,13608106.81670033,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T23:11:38.777076Z,1.0114354937553816,7.931,45215165.06313224,13857031.429271596,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:13:00.746303Z,1.0114354937553816,10.155,47428106.61644521,17407910.900349166,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T23:14:23.231901Z,1.0114354937553816,9.322,46612201.79825602,14533293.83391238,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T23:15:45.009557Z,1.0114354937553816,7.317,44807433.70937628,13929473.07152071,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T23:17:07.183554Z,1.0114354937553816,6.997,35703922.33229456,15790122.488737216,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T23:18:28.887556Z,1.0114354937553816,6.982,47277413.6323625,14966862.819620173,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:19:50.529557Z,1.0114354937553816,7.43,47748536.89972441,17286145.365368757,,175.37.52.171
20057,Launtel,Sydney,2020-06-04T23:21:12.432074Z,1.0114354937553816,7.342,47242395.77698894,15245605.437892329,,175.37.52.171
5666,Exetel,Sydney,2020-06-04T23:22:34.042075Z,1.0114354937553816,7.453,47303494.34523438,15738400.92152028,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:23:55.873073Z,1.0114354937553816,5.566,47485319.98381793,16985912.44707578,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T23:25:18.001592Z,1.0114354937553816,6.182,47094962.68766786,13447907.759056399,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:26:39.873595Z,1.0114354937553816,5.902,47498233.741159186,18663365.780410744,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:28:01.717594Z,1.0114354937553816,6.842,44599174.59317476,17115021.377893716,,175.37.52.171
2629,Telstra,Sydney,2020-06-04T23:29:24.438593Z,1.0114354937553816,5.971,46560733.16296567,14387850.26849377,,175.37.52.171
1267,'Yes' Optus,Sydney,2020-06-04T23:30:45.978593Z,1.0114354937553816,6.216,47410703.551367566,15101031.675136622,,175.37.52.171
