,Team,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HB,SH,SF,IBB,Team,PAge,R/G,W,L,PCT,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HB,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Team,G,CG,PO,A,E,DP,Fld%,PB,SB,CS,CS%,lgCS%,PO.1,Attendance,Managers
0,Yomiuri Giants,29.6,5.14,28,1057,928,144,247,43,2,38,136,17,10,106,238,0.266,0.344,0.44,0.784,408,24,5,16,2,8,Yomiuri Giants,28.5,3.11,18,8,0.6920000000000001,3.08,3.16,28,28,26,2,3,7,248.0,208,87,85,24,85,2,206,12,0,5,1020,1.181,7.5,0.9,3.1,7.5,2.42,Yomiuri Giants,28,,744,290,5,24,0.995,0,,,,,,,Tatsunori Hara
1,Yakult Swallows,29.4,4.76,29,1135,979,138,249,42,3,23,136,21,12,121,218,0.254,0.341,0.374,0.715,366,20,12,14,9,9,Yokohama Bay Stars,27.8,3.73,14,15,0.483,3.69,3.94,30,30,29,1,3,6,256.0,244,112,105,24,96,13,225,9,0,7,1086,1.328,8.6,0.8,3.4,7.9,2.34,Yakult Swallows,29,,789,306,11,33,0.99,2,,,,,,,Shingo Takatsu
2,Hiroshima Carp,28.7,4.71,28,1118,993,132,287,55,4,28,129,13,8,91,209,0.289,0.353,0.43700000000000006,0.79,434,23,8,25,1,5,Hanshin Tigers,29.5,4.18,14,13,0.519,3.91,4.39,28,28,26,2,0,7,239.2,228,117,104,20,104,9,201,8,1,10,1034,1.385,8.6,0.8,3.9,7.5,1.93,Yokohama Bay Stars,30,,768,324,13,21,0.988,3,,,,,,,Alex Ramirez
3,Yokohama Bay Stars,29.4,4.23,30,1118,997,127,278,50,1,31,125,5,4,94,222,0.27899999999999997,0.345,0.424,0.769,423,28,10,10,7,5,Chunichi Dragons,26.7,4.9,11,19,0.36700000000000005,4.6,4.99,31,31,31,0,4,5,274.0,283,152,140,32,110,5,247,11,0,8,1197,1.4340000000000002,9.3,1.1,3.6,8.1,2.25,Hiroshima Carp,28,,746,298,16,23,0.985,1,,,,,,,Shinji Sasaoka
4,Hanshin Tigers,29.5,3.89,28,1020,897,109,225,40,3,31,106,20,7,93,200,0.251,0.32299999999999995,0.406,0.7290000000000001,364,22,7,15,8,4,Hiroshima Carp,26.6,4.96,10,15,0.4,4.71,5.03,28,28,26,2,0,2,248.2,269,139,130,33,107,4,227,7,0,5,1104,1.5119999999999998,9.7,1.2,3.9,8.2,2.12,Chunichi Dragons,31,,822,349,18,29,0.985,2,,,,,,,Tsuyoshi Yoda
5,Chunichi Dragons,28.6,3.26,31,1159,1028,101,254,45,4,17,98,5,5,91,237,0.247,0.312,0.348,0.66,358,24,10,21,9,9,Yakult Swallows,27.1,4.97,14,11,0.56,4.59,4.93,29,29,29,0,0,5,263.0,308,144,134,35,94,7,218,5,1,4,1166,1.5290000000000001,10.5,1.2,3.2,7.5,2.32,Hanshin Tigers,28,,719,328,18,29,0.983,0,,,,,,,Akihiro Yano
6,League Totals,29.2,4.32,174,6607,5822,751,1540,275,17,168,730,81,46,596,1324,0.265,0.336,0.40399999999999997,0.74,2353,141,52,101,36,40,League Totals,27.6,4.32,81,81,0.5,4.11,4.42,174,174,167,7,10,32,1529.1,1540,751,698,168,596,40,1324,52,2,39,6607,1.3969999999999998,9.1,1.0,3.5,7.8,2.22,League Totals,174,,4588,1895,81,159,0.988,8,,,,,,,
